initial_cash,final_equity,total_return_pct,benchmark_equal_weight_return_pct,alpha_vs_equal_weight_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,guardrail_triggered,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,cooldown_days,max_drawdown_stop_pct,score,stop_loss_exits,take_profit_exits,time_exits
200.0,270.74000291111753,35.37000145555878,376.84321135438984,-341.47320989883104,-17.200684439622293,0.5040211777248101,47.0,120.0,61.702127659574465,1.898553390228762,25.951747,False,120,0.0,0.0,0.15,40,0.0,29.25466772698587,0,0,47
200.0,270.74000291111753,35.37000145555878,376.84321135438984,-341.47320989883104,-17.200684439622293,0.5040211777248101,47.0,120.0,61.702127659574465,1.898553390228762,25.951747,False,120,0.0,0.0,0.15,40,0.2,29.25466772698587,0,0,47
200.0,270.74000291111753,35.37000145555878,376.84321135438984,-341.47320989883104,-17.200684439622293,0.5040211777248101,47.0,120.0,61.702127659574465,1.898553390228762,25.951747,False,120,0.0,0.0,0.15,40,0.3,29.25466772698587,0,0,47
200.0,284.9053444946899,42.45267224734497,425.4911171458071,-383.0384448984621,-24.68065711362297,0.4433843452372124,52.0,120.0,59.61538461538461,1.6397166207713132,39.388236,False,120,0.0,0.0,0.2,20,0.0,28.611350715984308,0,0,52
200.0,284.9053444946899,42.45267224734497,425.4911171458071,-383.0384448984621,-24.68065711362297,0.4433843452372124,52.0,120.0,59.61538461538461,1.6397166207713132,39.388236,False,120,0.0,0.0,0.2,20,0.3,28.611350715984308,0,0,52
200.0,272.1010097546692,36.05050487733459,425.95692410477784,-389.9064192274433,-19.16497987198329,0.4943771483075928,54.0,120.0,61.111111111111114,1.7243888589836225,30.812438000000004,False,120,0.0,0.0,0.15,20,0.0,27.13809236826523,0,0,54
200.0,272.1010097546692,36.05050487733459,425.95692410477784,-389.9064192274433,-19.16497987198329,0.4943771483075928,54.0,120.0,61.111111111111114,1.7243888589836225,30.812438000000004,False,120,0.0,0.0,0.15,20,0.2,27.13809236826523,0,0,54
200.0,272.1010097546692,36.05050487733459,425.95692410477784,-389.9064192274433,-19.16497987198329,0.4943771483075928,54.0,120.0,61.111111111111114,1.7243888589836225,30.812438000000004,False,120,0.0,0.0,0.15,20,0.3,27.13809236826523,0,0,54
200.0,252.5248778392334,26.262438919616706,437.16763547176214,-410.9051965521454,-10.499671070716598,0.7309278188058598,50.0,93.64,72.0,2.104804076239004,18.541573,False,120,0.0,0.2,0.1,40,0.0,26.48462734777428,0,22,28
200.0,252.5248778392334,26.262438919616706,437.16763547176214,-410.9051965521454,-10.499671070716598,0.7309278188058598,50.0,93.64,72.0,2.104804076239004,18.541573,False,120,0.0,0.2,0.1,40,0.2,26.48462734777428,0,22,28
200.0,252.5248778392334,26.262438919616706,437.16763547176214,-410.9051965521454,-10.499671070716598,0.7309278188058598,50.0,93.64,72.0,2.104804076239004,18.541573,False,120,0.0,0.2,0.1,40,0.3,26.48462734777428,0,22,28
200.0,276.60739907559207,38.30369953779604,436.690582605636,-398.38688306783996,-23.241402044861626,0.5215029429374716,54.0,96.9074074074074,66.66666666666666,1.6056230512874712,40.889162000000006,False,120,0.0,0.2,0.2,20,0.0,25.23630516058718,0,21,33
200.0,276.60739907559207,38.30369953779604,436.690582605636,-398.38688306783996,-23.241402044861626,0.5215029429374716,54.0,96.9074074074074,66.66666666666666,1.6056230512874712,40.889162000000006,False,120,0.0,0.2,0.2,20,0.3,25.23630516058718,0,21,33
200.0,266.844686837204,33.422343418602,437.16763547176214,-403.74529205316014,-18.221452574838025,0.5873825434594094,56.0,96.14285714285714,67.85714285714286,1.7046573856311118,31.947867000000002,False,120,0.0,0.2,0.15,20,0.0,25.002147565629034,0,22,34
200.0,266.844686837204,33.422343418602,437.16763547176214,-403.74529205316014,-18.221452574838025,0.5873825434594094,56.0,96.14285714285714,67.85714285714286,1.7046573856311118,31.947867000000002,False,120,0.0,0.2,0.15,20,0.2,25.002147565629034,0,22,34
200.0,266.844686837204,33.422343418602,437.16763547176214,-403.74529205316014,-18.221452574838025,0.5873825434594094,56.0,96.14285714285714,67.85714285714286,1.7046573856311118,31.947867000000002,False,120,0.0,0.2,0.15,20,0.3,25.002147565629034,0,22,34
200.0,251.7101570220947,25.85507851104736,376.84321135438984,-350.9881328433425,-12.107576288592325,0.5441300883047733,48.0,120.0,62.5,1.9854095073042395,17.741475,False,120,0.0,0.0,0.1,40,0.0,24.37437008112431,0,0,48
200.0,251.7101570220947,25.85507851104736,376.84321135438984,-350.9881328433425,-12.107576288592325,0.5441300883047733,48.0,120.0,62.5,1.9854095073042395,17.741475,False,120,0.0,0.0,0.1,40,0.2,24.37437008112431,0,0,48
200.0,251.7101570220947,25.85507851104736,376.84321135438984,-350.9881328433425,-12.107576288592325,0.5441300883047733,48.0,120.0,62.5,1.9854095073042395,17.741475,False,120,0.0,0.0,0.1,40,0.3,24.37437008112431,0,0,48
200.0,252.61566064279174,26.307830321395876,425.95692410477784,-399.64909378338194,-13.605157176469895,0.5288257668885609,55.0,120.0,61.81818181818181,1.793012717848877,20.981973999999994,False,120,0.0,0.0,0.1,20,0.0,22.369927328287847,0,0,55
200.0,252.61566064279174,26.307830321395876,425.95692410477784,-399.64909378338194,-13.605157176469895,0.5288257668885609,55.0,120.0,61.81818181818181,1.793012717848877,20.981973999999994,False,120,0.0,0.0,0.1,20,0.2,22.369927328287847,0,0,55
200.0,252.61566064279174,26.307830321395876,425.95692410477784,-399.64909378338194,-13.605157176469895,0.5288257668885609,55.0,120.0,61.81818181818181,1.793012717848877,20.981973999999994,False,120,0.0,0.0,0.1,20,0.3,22.369927328287847,0,0,55
200.0,250.56739570681765,25.283697853408825,369.87262405273054,-344.5889261993217,-11.786755316537201,0.4282465884465503,61.0,90.0,57.377049180327866,1.672918575926101,21.703703,False,90,0.0,0.0,0.1,40,0.0,21.893039095636432,0,0,61
200.0,250.56739570681765,25.283697853408825,369.87262405273054,-344.5889261993217,-11.786755316537201,0.4282465884465503,61.0,90.0,57.377049180327866,1.672918575926101,21.703703,False,90,0.0,0.0,0.1,40,0.2,21.893039095636432,0,0,61
200.0,250.56739570681765,25.283697853408825,369.87262405273054,-344.5889261993217,-11.786755316537201,0.4282465884465503,61.0,90.0,57.377049180327866,1.672918575926101,21.703703,False,90,0.0,0.0,0.1,40,0.3,21.893039095636432,0,0,61
200.0,258.64497446306615,29.322487231533078,186.17200271343327,-156.8495154819002,-20.143744132228814,0.5341955100722743,41.0,97.17073170731707,65.85365853658537,1.7196581705125833,25.379341,True,120,0.0,0.2,0.2,0,0.2,20.314002934924385,0,18,23
200.0,248.14924370399478,24.074621851997403,437.16763547176214,-413.09301361976475,-13.172520170284962,0.6143061815015026,57.0,96.45614035087719,68.42105263157895,1.7614435732315754,21.729264999999998,False,120,0.0,0.2,0.1,20,0.0,20.205986340441555,0,23,34
200.0,248.14924370399478,24.074621851997403,437.16763547176214,-413.09301361976475,-13.172520170284962,0.6143061815015026,57.0,96.45614035087719,68.42105263157895,1.7614435732315754,21.729264999999998,False,120,0.0,0.2,0.1,20,0.2,20.205986340441555,0,23,34
200.0,248.14924370399478,24.074621851997403,437.16763547176214,-413.09301361976475,-13.172520170284962,0.6143061815015026,57.0,96.45614035087719,68.42105263157895,1.7614435732315754,21.729264999999998,False,120,0.0,0.2,0.1,20,0.3,20.205986340441555,0,23,34
200.0,248.89741368637465,24.448706843187317,369.87262405273054,-345.4239172095432,-14.856195830227382,0.3818506997552207,84.0,90.0,54.761904761904766,1.47535658167578,30.042946,False,90,0.0,0.0,0.1,0,0.0,16.66119557889568,0,0,84
200.0,248.89741368637465,24.448706843187317,369.87262405273054,-345.4239172095432,-14.856195830227382,0.3818506997552207,84.0,90.0,54.761904761904766,1.47535658167578,30.042946,False,90,0.0,0.0,0.1,0,0.2,16.66119557889568,0,0,84
200.0,248.89741368637465,24.448706843187317,369.87262405273054,-345.4239172095432,-14.856195830227382,0.3818506997552207,84.0,90.0,54.761904761904766,1.47535658167578,30.042946,False,90,0.0,0.0,0.1,0,0.3,16.66119557889568,0,0,84
200.0,252.3511169630051,26.17555848150255,450.32621664583996,-424.1506581643374,-19.318517818729564,0.33515433106406023,71.0,90.0,54.929577464788736,1.4106812682397483,38.72015,False,90,0.0,0.0,0.15,20,0.0,14.674068958654116,0,0,71
200.0,252.3511169630051,26.17555848150255,450.32621664583996,-424.1506581643374,-19.318517818729564,0.33515433106406023,71.0,90.0,54.929577464788736,1.4106812682397483,38.72015,False,90,0.0,0.0,0.15,20,0.2,14.674068958654116,0,0,71
200.0,252.3511169630051,26.17555848150255,450.32621664583996,-424.1506581643374,-19.318517818729564,0.33515433106406023,71.0,90.0,54.929577464788736,1.4106812682397483,38.72015,False,90,0.0,0.0,0.15,20,0.3,14.674068958654116,0,0,71
200.0,249.52640205707556,24.76320102853777,437.16763547176214,-412.4044344432244,-17.5555567042334,0.415217880810496,73.0,74.27397260273973,63.013698630136986,1.4093129343061892,39.879825000000004,False,90,0.0,0.2,0.15,20,0.0,14.459106921893667,0,27,46
200.0,249.52640205707556,24.76320102853777,437.16763547176214,-412.4044344432244,-17.5555567042334,0.415217880810496,73.0,74.27397260273973,63.013698630136986,1.4093129343061892,39.879825000000004,False,90,0.0,0.2,0.15,20,0.2,14.459106921893667,0,27,46
