initial_cash,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,cooldown_days,score,stop_loss_exits,take_profit_exits,time_exits
200.0,257.98269338460545,28.99134669230272,-25.17066627619443,0.29248558826001264,68.0,90.0,54.41176470588235,1.342398848226188,49.134519000000004,90,0.0,0.0,0.2,20,12.328615276287833,0,0,68
200.0,235.87800933125305,17.939004665626523,-13.789648937805676,0.3347059054747648,72.0,90.0,55.55555555555556,1.4222422974084066,26.217772000000004,90,0.0,0.0,0.1,20,11.2370908493143,0,0,72
200.0,233.99299067630005,16.99649533815002,-12.632389637568831,0.4146924875782985,74.0,74.48648648648648,63.51351351351351,1.4214683662535015,26.990933000000002,90,0.0,0.2,0.1,20,11.059998291240905,0,27,47
200.0,245.4863109941063,22.743155497053145,-21.04397625279382,0.30666931040656703,60.0,90.0,55.00000000000001,1.4004128153007174,31.190494,90,0.0,0.0,0.15,40,10.602712683961368,0,0,60
200.0,227.5319141073761,13.76595705368806,-10.050276263437219,0.3549156571160776,63.0,74.6984126984127,63.49206349206349,1.3825950326538645,22.265394,90,0.0,0.2,0.1,40,10.137955319379468,0,23,40
200.0,232.78720239748003,16.393601198740004,-12.425205809624352,0.3786868418578864,86.0,74.79069767441861,60.46511627906976,1.330331135600266,30.673885,90,0.0,0.2,0.1,0,9.612658269523072,0,30,56
200.0,245.91346958048248,22.95673479024125,-22.346137988939752,0.2746242856461698,81.0,90.0,53.086419753086425,1.2975286786550346,43.010276,90,0.0,0.0,0.15,0,8.104260891811606,0,0,81
200.0,232.9514007898369,16.47570039491846,-17.17615485773947,0.2988157440111895,62.0,75.41935483870968,61.29032258064516,1.3028059564102594,32.253071,90,0.0,0.2,0.15,40,6.634960483665155,0,22,40
200.0,236.8240700363846,18.412035018192306,-18.393689097696907,0.30503465970403204,83.0,75.10843373493977,59.036144578313255,1.2473046436349098,44.107302999999995,90,0.0,0.2,0.15,0,6.157926263094174,0,28,55
200.0,248.19397817461396,24.096989087306973,-28.02497213612091,0.2559871996041267,58.0,90.0,53.44827586206896,1.3181623157794617,39.88022599999999,90,0.0,0.0,0.2,40,5.935060264113601,0,0,58
200.0,239.89734244316864,19.948671221584323,-23.515524881358985,0.2645476157403769,80.0,74.4625,58.75,1.2024210932385644,56.077737,90,0.0,0.2,0.2,0,3.1202461767579055,0,28,52
200.0,235.02174127907566,17.510870639537824,-22.498844197892375,0.25251016982310853,60.0,75.91666666666667,60.0,1.2413546690117516,41.33255200000001,90,0.0,0.2,0.2,40,2.9768832361773,0,21,39
200.0,247.79310612439727,23.896553062198645,-29.398480931008166,0.2321367656965254,78.0,90.0,52.56410256410257,1.2339130667088192,54.572654,90,0.0,0.0,0.2,0,2.9486249974866166,0,0,78
