initial_cash,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,score,stop_loss_exits,take_profit_exits,time_exits
200.0,159.36991782612614,-20.315041086936926,-32.06835716996491,-0.43103493273337257,161.0,28.099378881987576,48.4472049689441,0.7404066014121099,54.690127000000004,40,0.12,0.12,0.1,-48.22878230735006,50,44,67
200.0,170.19830345195012,-14.900848274024936,-42.102290945018964,-0.18660517289574036,120.0,40.09166666666667,45.0,0.8486365188772295,61.221143,60,0.12,0.2,0.15,-48.89544103840301,48,23,49
200.0,167.4220805888176,-16.2889597055912,-38.97690322356744,-0.21084460105357053,156.0,35.63461538461539,49.358974358974365,0.837825167716915,79.25377499999999,40,0.0,0.12,0.15,-49.97520003468221,0,43,113
200.0,185.42631463183602,-7.286842684081984,-51.494290480478874,0.0050808931255850445,148.0,40.0,45.94594594594595,0.946370091153455,100.052433,40,0.0,0.0,0.2,-50.61833173867387,0,0,148
200.0,161.89094619101715,-19.05452690449142,-42.07171544734744,-0.2248550237513011,82.0,41.02439024390244,54.87804878048781,0.8024352758600277,56.88143300000001,90,0.12,0.12,0.2,-51.90020876070187,32,35,15
200.0,158.3816279076233,-20.809186046188344,-36.97874588340946,-0.34015154680951065,160.0,27.60625,40.625,0.7496125202677875,54.284611,40,0.08,0.0,0.1,-52.309413407406495,78,0,82
200.0,156.37942929123693,-21.81028535438153,-37.888247262180165,-0.33435782196400793,121.0,33.14876033057851,36.36363636363637,0.771253197244566,61.676912,60,0.08,0.2,0.15,-53.084050414793836,65,20,36
200.0,194.80988236466982,-2.5950588176650857,-64.98862079597578,0.08813970976708248,114.0,44.74561403508772,39.473684210526315,0.9814012475351638,77.64920899999998,60,0.12,0.0,0.2,-53.7319786269711,50,0,64
200.0,148.74898392369465,-25.625508038152677,-33.40056597760015,-0.5999017536954548,161.0,23.88198757763975,44.099378881987576,0.6675309234331126,54.584053,40,0.08,0.12,0.1,-54.897480554187226,73,39,49
200.0,169.7203310466157,-15.13983447669215,-48.08479238280936,-0.10360869974162906,148.0,38.229729729729726,46.62162162162162,0.8858035771427399,99.895389,40,0.0,0.2,0.2,-56.20918032808547,0,18,130
200.0,148.25625218127442,-25.871873909362787,-36.20670963013267,-0.5229976140470417,160.0,25.80625,41.25,0.6844518885563079,54.183368,40,0.08,0.2,0.1,-57.113815089180754,77,18,65
200.0,165.01119780393222,-17.494401098033883,-52.0846513708906,-0.03964263525737863,115.0,37.17391304347826,32.17391304347826,0.864680219773139,78.14316899999999,60,0.08,0.0,0.2,-59.59164697733614,66,0,49
200.0,156.4276800835343,-21.786159958232844,-47.26126456253199,-0.1739031836964633,116.0,49.9051724137931,52.58620689655172,0.8159278704326499,78.84910299999999,60,0.0,0.12,0.2,-60.57492417796858,0,38,78
200.0,161.94007006736766,-19.02996496631617,-49.048538596541434,-0.15964169570748082,150.0,35.60666666666667,50.0,0.8524824941331243,101.401265,40,0.0,0.12,0.2,-61.124019693056624,0,42,108
200.0,141.43180160910802,-29.28409919544599,-37.99815302713239,-0.5281143399542731,122.0,29.89344262295082,40.16393442622951,0.6790092462852759,62.121228,60,0.08,0.12,0.15,-61.1537291343689,62,33,27
200.0,150.5550219973374,-24.722489001331294,-45.645804659106126,-0.3542769595868569,122.0,35.77049180327869,49.18032786885246,0.7437144784192096,62.21247,60,0.12,0.12,0.15,-62.00889360356484,47,37,38
200.0,142.34678389891815,-28.826608050540926,-57.51607069764195,-0.2385019746820811,114.0,40.12280701754386,42.98245614035088,0.7782423659051169,77.12463299999999,60,0.12,0.2,0.2,-75.3486808942468,47,21,46
200.0,138.1329839655228,-30.933508017238598,-54.98001657769751,-0.28095855143831605,155.0,27.45806451612903,39.35483870967742,0.7421733650275953,78.367118,40,0.08,0.0,0.15,-77.02600952537375,77,0,78
